,count,mean,std,min,25%,50%,75%,max
basic_piecewise,100.0,386.678205290808,1997.5228907234239,-5494.720275339768,-654.1478045166759,278.20109440051505,1645.9621540741227,4875.506262101994
indexed_piecewise,100.0,-273.01599106865154,483.9949086065551,-1781.7845968063534,-556.1771719692576,-294.285818069622,2.1638960692359532,746.2712927445924
interval_piecewise,100.0,-187.34549411076438,504.981951320585,-1393.2058114424133,-608.450161809973,-105.41070244077054,143.30606750023594,1041.6732167589105
milp_piecewise,100.0,5.34176355687066,147.01909944145106,-462.2965731649949,-90.13862183860192,7.015867937545449,99.68148310963814,358.48002369639516
basic_stepwise,100.0,-197.7956240279579,1993.9103142504946,-6794.063232541479,-1363.9978368994316,-106.46712175660082,1142.9950721418438,3900.941623405794
indexed_stepwise,100.0,-367.0345932140251,2083.2355600512797,-6710.554768056101,-1799.7953782125062,-124.36339638872957,1039.934809093804,4937.142686996119
interval_stepwise,100.0,-372.0540296615429,1904.731370146973,-5183.308097964561,-1293.0029004349285,-380.3577681437476,841.9344655234709,4477.727321575278
milp_stepwise,100.0,-10.18259676319502,152.12622059810087,-456.02375743212514,-105.855298307712,-4.600591973549873,95.50901177283933,302.33052205184924
basic_none,100.0,-284.82522882734474,14.781867389479512,-310.16462383018194,-295.10527132740714,-287.36360998275535,-277.25047260395024,-217.07548524197202
indexed_none,100.0,-284.66289648396696,16.515978023827792,-312.082924427101,-295.3421770806831,-287.51608078685285,-278.58643502962695,-205.48275608814728
interval_none,100.0,-284.085446005831,15.174368008941993,-306.23334143326827,-296.6544577197662,-286.4585652672703,-274.282362584403,-228.1565740928884
milp_none,100.0,-1.6139300391301008,1.4083477204187915,-3.9013690953993168,-2.7127643041385596,-1.7962499269895136,-0.810896322737781,3.0179114641984364
