,count,mean,std,min,25%,50%,75%,max
basic_piecewise,2.0,0.47350518250000007,0.31309611700865975,0.252112795,0.36280898875,0.47350518250000007,0.58420137625,0.6948975700000001
indexed_piecewise,2.0,0.0924272955,0.013718122577926348,0.082727118,0.08757720675,0.0924272955,0.09727738425000002,0.10212747300000001
interval_piecewise,2.0,0.18486855950000003,0.010477432400758536,0.177459896,0.18116422775000002,0.18486855950000003,0.18857289125,0.19227722300000002
milp_piecewise,2.0,0.9645498991012573,0.45569728948378974,0.6423232555389404,0.8034365773200989,0.9645498991012573,1.1256632208824158,1.2867765426635742
basic_stepwise,2.0,0.08139837650000001,0.029180138062565857,0.060764903,0.07108163975000001,0.08139837650000001,0.09171511325000001,0.10203185000000001
indexed_stepwise,2.0,0.097644403,0.0038583578500292126,0.094916132,0.0962802675,0.097644403,0.0990085385,0.10037267400000001
interval_stepwise,2.0,0.08735811900000001,0.00965108691016727,0.08053377,0.08394594450000001,0.08735811900000001,0.0907702935,0.094182468
milp_stepwise,2.0,0.46875429153442383,0.11198215344471692,0.389570951461792,0.4291626214981079,0.46875429153442383,0.5083459615707397,0.5479376316070557
basic_none,2.0,0.0504759075,0.0004058149456839934,0.050188953,0.050332430250000004,0.0504759075,0.05061938475,0.050762862000000006
indexed_none,2.0,0.0515339515,0.004253870249911309,0.048526011,0.05002998125,0.0515339515,0.05303792175,0.054541892
interval_none,2.0,0.0630059515,0.017423674652541136,0.050685553,0.05684575225,0.0630059515,0.06916615075,0.07532635
milp_none,2.0,0.2320106029510498,0.007756705999944938,0.22652578353881836,0.22926819324493408,0.2320106029510498,0.23475301265716553,0.23749542236328125
