,count,mean,std,min,25%,50%,75%,max
basic_piecewise,100.0,-360.6632939595924,445.23681253849435,-1504.290601364197,-675.5319243774587,-382.34365478180723,-115.90130656863414,859.587308060582
indexed_piecewise,100.0,-338.3768011278833,263.51075805591137,-1115.7572403586921,-501.82359233579723,-346.05399408949586,-160.704203521392,262.1914656951384
interval_piecewise,100.0,-352.4726600222844,258.7429261231855,-891.8823760318588,-526.7144213646334,-382.76677521319357,-179.2914093716166,705.9588761039477
milp_piecewise,100.0,-0.2584750034416416,32.67325373824412,-82.24084112803503,-21.620431898351946,-2.493074789919999,22.53241301135863,72.19500553911196
basic_stepwise,100.0,-401.56820714603293,427.6381245435586,-1498.1091649318553,-676.6711052820319,-373.05361351562954,-67.8551608040762,342.9400883177451
indexed_stepwise,100.0,-404.8832998859369,418.6423717839217,-1506.4807608263416,-736.3014754361408,-425.54567582575555,-110.8444135418683,738.9473414210584
interval_stepwise,100.0,-417.98033067955987,423.3886491958334,-1369.7865975425466,-690.8690517755035,-428.50834260475494,-132.33004679223058,587.8413575895107
milp_stepwise,100.0,5.6997583028584975,35.3524304311659,-91.73977827019152,-15.519100923920094,4.079031995139668,28.81192752238188,98.52510426437087
basic_none,100.0,-403.8259630315839,11.835367751888295,-425.1491387082124,-411.5572166332942,-404.2666878873755,-397.14333764744487,-370.33223900498024
indexed_none,100.0,-402.9703362619209,14.042642688910675,-425.05459269697366,-412.36991161971764,-406.07856980474094,-394.8419894468837,-345.6775402838378
interval_none,100.0,-401.88863038448557,16.49490888576991,-427.7206453280314,-413.39562943099156,-406.79964871547895,-391.1922622644213,-345.25734045229484
milp_none,100.0,-1.99771187354137,1.3195627863999382,-4.157079254410734,-2.877658260055015,-2.2880551180887045,-1.351611965273655,2.2702641002072483
